date,date_id,year,month,month_name,quarter,day,day_name,week,is_weekend
2017-07-13 19:58:11,20170713,2017,7,July,3,13,Thursday,28,0
2017-07-14 16:49:26,20170714,2017,7,July,3,14,Friday,28,0
2017-07-15 06:41:01,20170715,2017,7,July,3,15,Saturday,28,1
2017-07-16 10:27:45,20170716,2017,7,July,3,16,Sunday,28,1
2017-07-17 21:55:56,20170717,2017,7,July,3,17,Monday,29,0
2017-07-18 14:57:58,20170718,2017,7,July,3,18,Tuesday,29,0
2017-07-19 16:45:17,20170719,2017,7,July,3,19,Wednesday,29,0
2017-07-20 23:51:43,20170720,2017,7,July,3,20,Thursday,29,0
2017-07-21 07:31:26,20170721,2017,7,July,3,21,Friday,29,0
2017-07-22 19:16:47,20170722,2017,7,July,3,22,Saturday,29,1
2017-07-23 17:53:00,20170723,2017,7,July,3,23,Sunday,29,1
2017-07-24 17:19:00,20170724,2017,7,July,3,24,Monday,30,0
2017-07-25 22:57:29,20170725,2017,7,July,3,25,Tuesday,30,0
2017-07-26 13:47:20,20170726,2017,7,July,3,26,Wednesday,30,0
2017-07-27 23:29:11,20170727,2017,7,July,3,27,Thursday,30,0
2017-07-28 11:25:16,20170728,2017,7,July,3,28,Friday,30,0
2017-07-29 11:55:02,20170729,2017,7,July,3,29,Saturday,30,1
2017-07-30 03:06:35,20170730,2017,7,July,3,30,Sunday,30,1
2017-07-31 21:37:10,20170731,2017,7,July,3,31,Monday,31,0
2017-08-01 18:52:12,20170801,2017,8,August,3,1,Tuesday,31,0
2017-08-02 15:36:19,20170802,2017,8,August,3,2,Wednesday,31,0
2017-08-03 10:39:39,20170803,2017,8,August,3,3,Thursday,31,0
2017-08-04 17:10:39,20170804,2017,8,August,3,4,Friday,31,0
2017-08-05 19:30:41,20170805,2017,8,August,3,5,Saturday,31,1
2017-08-06 23:40:08,20170806,2017,8,August,3,6,Sunday,31,1
2017-08-07 09:25:20,20170807,2017,8,August,3,7,Monday,32,0
2017-08-08 10:46:08,20170808,2017,8,August,3,8,Tuesday,32,0
2017-08-09 20:19:05,20170809,2017,8,August,3,9,Wednesday,32,0
2017-08-10 11:58:33,20170810,2017,8,August,3,10,Thursday,32,0
2017-08-11 08:41:43,20170811,2017,8,August,3,11,Friday,32,0
2017-08-12 09:51:12,20170812,2017,8,August,3,12,Saturday,32,1
2017-08-13 20:31:03,20170813,2017,8,August,3,13,Sunday,32,1
2017-08-14 17:38:02,20170814,2017,8,August,3,14,Monday,33,0
2017-08-15 11:14:25,20170815,2017,8,August,3,15,Tuesday,33,0
2017-08-16 08:00:13,20170816,2017,8,August,3,16,Wednesday,33,0
2017-08-17 17:03:31,20170817,2017,8,August,3,17,Thursday,33,0
2017-08-18 00:12:37,20170818,2017,8,August,3,18,Friday,33,0
2017-08-19 18:48:58,20170819,2017,8,August,3,19,Saturday,33,1
2017-08-20 11:07:39,20170820,2017,8,August,3,20,Sunday,33,1
2017-08-21 19:33:15,20170821,2017,8,August,3,21,Monday,34,0
2017-08-22 18:53:15,20170822,2017,8,August,3,22,Tuesday,34,0
2017-08-23 15:40:22,20170823,2017,8,August,3,23,Wednesday,34,0
2017-08-24 19:35:00,20170824,2017,8,August,3,24,Thursday,34,0
2017-08-25 08:58:52,20170825,2017,8,August,3,25,Friday,34,0
2017-08-26 16:53:30,20170826,2017,8,August,3,26,Saturday,34,1
2017-08-27 20:44:40,20170827,2017,8,August,3,27,Sunday,34,1
2017-08-28 22:47:13,20170828,2017,8,August,3,28,Monday,35,0
2017-08-29 12:36:36,20170829,2017,8,August,3,29,Tuesday,35,0
2017-08-30 17:49:11,20170830,2017,8,August,3,30,Wednesday,35,0
2017-08-31 08:15:24,20170831,2017,8,August,3,31,Thursday,35,0
2017-09-01 22:52:49,20170901,2017,9,September,3,1,Friday,35,0
2017-09-02 23:23:01,20170902,2017,9,September,3,2,Saturday,35,1
2017-09-03 14:22:03,20170903,2017,9,September,3,3,Sunday,35,1
2017-09-04 11:39:25,20170904,2017,9,September,3,4,Monday,36,0
2017-09-05 18:24:22,20170905,2017,9,September,3,5,Tuesday,36,0
2017-09-06 10:15:27,20170906,2017,9,September,3,6,Wednesday,36,0
2017-09-07 04:14:08,20170907,2017,9,September,3,7,Thursday,36,0
2017-09-08 13:37:07,20170908,2017,9,September,3,8,Friday,36,0
2017-09-09 19:37:39,20170909,2017,9,September,3,9,Saturday,36,1
2017-09-10 22:32:14,20170910,2017,9,September,3,10,Sunday,36,1
2017-09-11 07:54:38,20170911,2017,9,September,3,11,Monday,37,0
2017-09-12 16:32:09,20170912,2017,9,September,3,12,Tuesday,37,0
2017-09-13 14:27:11,20170913,2017,9,September,3,13,Wednesday,37,0
2017-09-14 18:32:52,20170914,2017,9,September,3,14,Thursday,37,0
2017-09-15 09:19:48,20170915,2017,9,September,3,15,Friday,37,0
2017-09-16 09:20:26,20170916,2017,9,September,3,16,Saturday,37,1
2017-09-17 18:52:44,20170917,2017,9,September,3,17,Sunday,37,1
2017-09-18 14:31:30,20170918,2017,9,September,3,18,Monday,38,0
2017-09-19 22:17:15,20170919,2017,9,September,3,19,Tuesday,38,0
